"url","backlinks","refpages","pages","valid_pages","text","image","nofollow","ugc","sponsored","dofollow","redirect","canonical","gov","edu","rss","alternate","html_pages","links_internal","links_external","refdomains","refclass_c","refips","linked_root_domains"
"orlandosentinel.com",6472844,3532743,326860,326859,6448667,631302,953384,42910,84,5494911,3779,18229,900,21170,1657,14,33475,1133408,302034,127645,27275,60674,4155
"edmontonjournal.com",10597300,5242866,4260043,4260011,8897882,496668,141785,7542,259,8755907,40386,1656846,64755,6762,131,265,2471850,251984953,67115030,29498,12099,21708,59801
"nypost.com",68428803,24482776,1509748,1509628,68146011,6260338,7976475,254975,20332,60155511,36383,41788,23250,874449,15669,3068,1070914,100348890,38974349,561281,72303,209329,60837
"huffingtonpost.com",77289109,31768516,910788,910683,77149958,6534401,6529860,342956,3687,70603168,44523,30552,6303,626149,7864,16878,6187,511355,418549,913978,93119,259788,904
"thedailybeast.com",32820678,10229161,1261509,1261464,32773387,1763160,7307544,166544,1194,25461550,10824,32023,3529,110101,2283,102,537900,25677744,3315848,288289,49437,126645,37854
"newsweek.com",71492204,36944056,1516880,1516867,71037204,4852088,5346566,135679,3227,65683286,17981,418282,5656,40661135,3348,34,1110953,65192531,15663154,528197,67368,172536,72606
"cnbc.com",71931499,29934637,1736113,1735827,70891064,5276249,8368715,295336,154479,62352000,54676,762280,12633,229794,42457,685,1086560,77892982,21762790,617422,110549,307393,59223
"csmonitor.com",26282151,11245252,6603610,6588027,26271068,390115,1278830,39242,276,24991342,4713,2415,3368,151350,2478,1072,4761695,169087484,11083829,193391,36501,77500,37519
"montrealgazette.com",20815984,6424819,1696318,1696291,18751047,2349602,318806,19110,2070,18425270,5589,2056138,10489,15190,214,300,1071497,126425107,29287291,50904,17415,33224,63155
"theage.com.au",33226065,17131347,1271286,1271224,33006331,724710,3236216,105749,1097,29767455,5222,199588,6487,82924,7250,14,909112,98254364,32273942,124358,30986,67555,110254
"rollcall.com",8689874,2332586,170432,170428,8680722,105721,588243,14387,62,8092274,6029,2166,3309,33910,241,0,65923,1499085,416529,51539,16833,34413,2875
"buffalonews.com",8046969,2955822,143788,143779,7956459,128250,406750,9558,56,7549570,2711,6919,1706,33319,1737,32,33342,1926219,302650,66579,20702,43127,4435
"thewest.com.au",1862536,1428594,47071,47054,1854175,299321,207709,4248,54,1646389,3515,3047,584,3029,457,2,38571,1575335,1083995,93351,13748,32411,618
"tampabay.com",11638967,4305638,2048717,2048670,11599639,723317,1104640,38459,141,10494220,9594,24627,2450,54129,1279,18,515945,61769121,8163966,152207,30532,69012,17944
"chicagotribune.com",27555432,12907195,4344215,4344166,27375968,1602310,3519469,87352,4181,23852744,27814,145712,12316,208056,2359,172,1917128,52771723,20739431,385551,59406,157111,69183
"newrepublic.com",8372854,4995528,240721,240720,8321022,101962,629055,19351,34,7691460,49852,485,540,33408,1181,14,210225,6775949,5555571,104514,27895,59795,24379
